id,Names,ScreenNames,Tweets,Tweets After Clean,Predictions
804517017080336384,Myong _Wisley,Myong_Wisley,#Music #Movie A Country Tribute To #CarrieUnderwood CD NEW SEALED https://t.co/kUEDgSKbYw #BestBuy #Sale https://t.co/qAb9bgmac0,#music #movi a countri tribut to #carrieunderwood cd new seal #bestbuy #sale,1
804515889064210432,Johnny Depp Fans,JohnnyDeppFans7,â¤#Entertainment #JohnnyDepp Sweeney Todd SIGNED 11x14 Photo COA #Auction #BestBuy https://t.co/Sii10gA24yâ€¦ https://t.co/egCJztIXEO,â¤#entertain #johnnydepp sweeney todd sign 11x14 photo coa #auction #bestbuy â€¦,0
804515585707024384,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment pirates of the caribbean dvd lot edward scissorhands sweeney todd #JohnnyDeppâ€¦ https://t.co/ZAtS1N0DDX,#entertain pirat of the caribbean dvd lot edward scissorhand sweeney todd #johnnydeppâ€¦,1
804510991862022144,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment 8 - #JohnnyDepp - DVD Movie Collection Set (Lot 1383) https://t.co/NimPmplGpL #Auction #BestBuy https://t.co/17SBsxW3z0,#entertain 8 - #johnnydepp - dvd movi collect set (lot 1383) #auction #bestbuy,0
804508079853359108,AbanCommercials,abancommercials,#BestBuy Propel Star Wars Themed Quadcopters TV Commercial https://t.co/ksKRBcUMWs https://t.co/HyGYPcOK5u,#bestbuy propel star war theme quadcopt tv commerci,1
804507804153344000,AbanCommercials,abancommercials,#BestBuy High Roller Self-Balancing Scooter TV Commercial https://t.co/Konl6sKScN https://t.co/WXyhCCnv1d,#bestbuy high roller self-balanc scooter tv commerci,0
804507217055522817,Myong _Wisley,Myong_Wisley,#Music #Movie Signed MIRANDA LAMBERT #CarrieUnderwood 8.5x11 photo Hand Autographed COA https://t.co/HVzCI100TWâ€¦ https://t.co/rWjk71ZE3s,#music #movi sign miranda lambert #carrieunderwood 8.5x11 photo hand autograph coa â€¦,1
804506156773216256,Johnny Depp Fans,JohnnyDeppFans7,â¤#Entertainment RANGO #JohnnyDepp (2011) DVD BRAND NEW #Auction #BestBuy https://t.co/IlLPpDwwXIâ€¦ https://t.co/P4CDLEXBzh,â¤#entertain rango #johnnydepp (2011) dvd brand new #auction #bestbuy â€¦,0
804505906364829696,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice in Wonderland (Blu-ray/DVD, 2010, 3-Disc Set) Disney #JohnnyDepp https://t.co/Zrwb2hmGkwâ€¦ https://t.co/TNF3phECzd","#entertain alic in wonderland (blu-ray/dvd, 2010, 3-disc set) disney #johnnydepp â€¦",0
804502666126598144,Myong _Wisley,Myong_Wisley,"#Music #Movie Some Hearts by #CarrieUnderwood (CD, Nov-2005, Arista) https://t.co/qwvUexBLzI #BestBuy #Sale https://t.co/gKU8IlrPNX","#music #movi some heart by #carrieunderwood (cd, nov-2005, arista) #bestbuy #sale",1
804501490802900993,Johnny Depp Fans,JohnnyDeppFans7,"â¤#Entertainment The Astronauts Wife (Blu-ray Disc, 2012), #JohnnyDepp, Charlize Theron, NEW!!! #Auction #BestBuy https://t.co/syRiP8OkqE","â¤#entertain the astronaut wife (blu-ray disc, 2012), #johnnydepp, charliz theron, new!! #auction #bestbuy",1
804501246212087808,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp Sweeney Todd SIGNED 11x14 Photo COA https://t.co/4Ev5slYIet #Auction #BestBuy https://t.co/Sii10gA24y,#entertain #johnnydepp sweeney todd sign 11x14 photo coa #auction #bestbuy,1
804497620722814976,Myong _Wisley,Myong_Wisley,#Music #Movie 2015 CHRISTMAS Luke Bryan HUNTER HAYES Darius Rucker #CarrieUnderwood 2 CD https://t.co/CokcKKrsJSâ€¦ https://t.co/CtWSkPGnBo,#music #movi 2015 christma luke bryan hunter hay dariu rucker #carrieunderwood 2 cd â€¦,1
804496867136507904,Trish McFarlane,TrishMcFarlane,"@FrankZupan No, I was hoping to have this tv before the move. Since they didn't bring it, I had no choice but to cancel it. #bestbuy #fail","no, i wa hope to have thi tv befor the move. sinc they didn't bring it, i had no choic but to cancel it. #bestbuy #fail",1
804496200967733249,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment DISNEY'S ALICE IN WONDERLAND #JohnnyDepp DVD BRAND NEW https://t.co/iBSUwR6mfS #Auction #BestBuy https://t.co/s4aSn2Xqod,#entertain disney' alic in wonderland #johnnydepp dvd brand new #auction #bestbuy,1
804493854271569920,Enzo R,VRusso21,@BestBuy this is such a wonderful gift from #BestBuy #12DaysOfDell. Having this #Sweepstakes for a well known #Windows experience!,thi is such a wonder gift from #bestbuy #12daysofdell. have thi #sweepstak for a well known #window experience!,1
804492876893732864,Myong _Wisley,Myong_Wisley,#Music #Movie Bo Bice Richie Sambora #CarrieUnderwood Inside Your Heart FREE US SHIPPING https://t.co/OplecZbaFhâ€¦ https://t.co/a97BqfYvqg,#music #movi bo bice richi sambora #carrieunderwood insid your heart free us ship â€¦,0
804492775563595776,Bullshit Free Zone,OpLGBT,Clinton and Trump Holiday Gift Cards Available At #Bestbuy https://t.co/JIA1hsGTiz,clinton and trump holiday gift card avail at #bestbuy,1
804491566341423105,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment RANGO #JohnnyDepp (2011) DVD BRAND NEW https://t.co/YVNr0Ts6FM #Auction #BestBuy https://t.co/IlLPpDwwXI,#entertain rango #johnnydepp (2011) dvd brand new #auction #bestbuy,1
804488389042978816,Jason Wu,jq9339,#BestBuy weekly ad. find a great deal with special sale prices this week at Best Buy. ğŸˆ¹ https://t.co/U0fF0KHLbF https://t.co/RqOp97agiG,#bestbuy weekli ad. find a great deal with special sale price thi week at best buy. ğŸˆ¹,0
804488321661431808,Myong _Wisley,Myong_Wisley,#Music #Movie 2010 CHRISTMAS #CarrieUnderwood Kellie Pickler Garth Brooks Alan Jackon 2 CD https://t.co/EeJ6OpHPFy #BestBuy #Sale,#music #movi 2010 christma #carrieunderwood kelli pickler garth brook alan jackon 2 cd #bestbuy #sale,0
804488288409006080,Johnny Depp Fans,JohnnyDeppFans7,"â¤#Entertainment Alice Through the Looking Glass (BD + DVD + Digital HD) [Blu-ray] #JohnnyDepp, #Auction #BestBuy https://t.co/mnFwZLPu3V","â¤#entertain alic through the look glass (bd + dvd + digit hd) [blu-ray] #johnnydepp, #auction #bestbuy",1
804487924729413632,Joe Matarese,TheJoeMatarese,@heedeedee @SeesoTV I was referring to all those mounted speakers! Looks like a #bestbuy geek squad dream!,i wa refer to all those mount speakers! look like a #bestbuy geek squad dream!,1
804487030012940288,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment The Astronauts Wife (Blu-ray Disc, 2012), #JohnnyDepp, Charlize Theron, NEW!!! https://t.co/nz1is80d1M #Auction #BestBuy","#entertain the astronaut wife (blu-ray disc, 2012), #johnnydepp, charliz theron, new!! #auction #bestbuy",0
804485821495709698,Wearables Newz,WearablesNooz,#Bestbuy Huawei Watch Stainless Steel with Stainless Steel... - https://t.co/UyHrckUBE4 #smartwatch #wearables https://t.co/8T9O43jc5k,#bestbuy huawei watch stainless steel with stainless steel.. - #smartwatch #wearabl,1
804485568633704449,DazzledJewels LLC,_DazzledJewels_,Check out Blu Dash L Cell Phone NIB Unlocked #BLU #Smartphone https://t.co/L2IxDXQqP1 via @eBay #att #Verizon #sprint #tmobile #bestbuy,check out blu dash l cell phone nib unlock #blu #smartphon via #att #verizon #sprint #tmobil #bestbuy,0
804484593579495424,somedroid.com,SomeDroidCom,Deal: grab a ZTE Axon 7 Mini for just $199 at Best Buy this weekend (US) https://t.co/y0usFPnSUd #bestbuy,deal: grab a zte axon 7 mini for just $199 at best buy thi weekend (us) #bestbuy,0
804484254180720641,TLC,Joy4youandme,@BestBuy #12DaysofDell #Sweepstakes #Windows #BestBuy ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»,#12daysofdel #sweepstak #window #bestbuy ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»ğŸ…ğŸ»,0
804483528415027200,Myong _Wisley,Myong_Wisley,#Music #Movie CHRISTMAS 6 CD set KENNY CHESNEY Luke Bryan #CarrieUnderwood KELLIE PICKLER 2012â€¦ https://t.co/BlebkjtIGK,#music #movi christma 6 cd set kenni chesney luke bryan #carrieunderwood kelli pickler 2012â€¦,0
804482366953558016,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment CHARLIE AND THE CHOCOLATE FACTORY #JohnnyDepp WS (2005) DVD BRAND NEW SEALED https://t.co/gAchlDTx7Kâ€¦ https://t.co/cQWDOUJLd1,#entertain charli and the chocol factori #johnnydepp ws (2005) dvd brand new seal â€¦,0
804481044300775424,cat,goodnessno,Did lots of shopping today. Santa sleigh will be filled with toys and electronics from #Target  and #BestBuy. Not missing #Amazon,did lot of shop today. santa sleigh will be fill with toy and electron from #target and #bestbuy. not miss #amazon,1
804478908884086784,Ron Chiu,ronkchiu,So I finally got my preorder of #FinalFantasyXVDeluxeEdition from #BestBuy. But this box... https://t.co/GHWLQd4udl,so i final got my preorder of #finalfantasyxvdeluxeedit from #bestbuy. but thi box..,0
804477985004744704,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo 8 Pirates Weimaraner Rescue Charity https://t.co/1qqjakQvm8â€¦ https://t.co/aIpKo9BAI2,#entertain #johnnydepp #autograph 4x6 photo 8 pirat weimaran rescu chariti â€¦,0
804472698222977024,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice Through the Looking Glass (BD + DVD + Digital HD) [Blu-ray] #JohnnyDepp, https://t.co/Ukk6aGa8Yy #Auction #BestBuy","#entertain alic through the look glass (bd + dvd + digit hd) [blu-ray] #johnnydepp, #auction #bestbuy",1
804472613003284480,Matt Mungle,themungle,One trip to #BestBuy is all it takes to remind me why I shop at home on #amazon. Might cover this on the next radio show.,one trip to #bestbuy is all it take to remind me whi i shop at home on #amazon. might cover thi on the next radio show.,1
804472496355504128,a.k.a.CRUSH,_akaCRUSH,#PineappleExpress (2008) #BestBuy Exclusive #Bluray #Steelbook part of the BOGO (buy 1 get 1â€¦ https://t.co/wZuke2qX1L,#pineappleexpress (2008) #bestbuy exclus #bluray #steelbook part of the bogo (buy 1 get 1â€¦,1
804472310296100864,a.k.a.CRUSH,_akaCRUSH,#BoyzNTheHood (1991) #BestBuy Exclusive #Bluray #Steelbook part of the BOGO (buy 1 get 1 free)â€¦ https://t.co/cpvdYMXgPH,#boyznthehood (1991) #bestbuy exclus #bluray #steelbook part of the bogo (buy 1 get 1 free)â€¦,0
804471516058390528,a.k.a.CRUSH,_akaCRUSH,#PineappleExpress (2008) #Bluray #Steelbook #BestBuy #SethRogen #JamesFranco #AmberHeard #ProjectPopArt https://t.co/R5dxwc0r8n via @YouTube,#pineappleexpress (2008) #bluray #steelbook #bestbuy #sethrogen #jamesfranco #amberheard #projectpopart via,0
804469353563328512,a.k.a.CRUSH,_akaCRUSH,#BoyzNTheHood (1991) #Bluray #Steelbook #BestBuy | #IceCube #CubaGoodingJr #NiaLong #ProjectPopArt https://t.co/8nT13Xztfu via @YouTube,#boyznthehood (1991) #bluray #steelbook #bestbuy | #icecub #cubagoodingjr #nialong #projectpopart via,0
804468328811167744,gerard desilets,gerdesilets,"#BESTBUY VEUT PAS VENDRE D""ORDIS AU QUEBEC
https://t.co/NwE3VIzkmm","#bestbuy veut pa vendr d""ordi au quebec",0
804467931996241920,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo Sweeney Todd Weimaraner Rescue Charity https://t.co/tKCqsQfH0Hâ€¦ https://t.co/Z0eqXUycMW,#entertain #johnnydepp #autograph 4x6 photo sweeney todd weimaran rescu chariti â€¦,0
804465539259060225,Warrior Raider Bully,exclusivetonyd,@DevanRhode yet u still making time now go fill out that application #bestbuy âœŒ,yet u still make time now go fill out that applic #bestbuy âœŒ,1
804464986344931328,Johnny Depp Fans,JohnnyDeppFans7,"â¤#Entertainment Alice in Wonderland DVD, #JohnnyDepp, Mia Wasikowska, Tim Burton #Auction #BestBuy https://t.co/TAwc8zIikg","â¤#entertain alic in wonderland dvd, #johnnydepp, mia wasikowska, tim burton #auction #bestbuy",1
804463511518617600,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood Greatest Hits: Decade https://t.co/nvv5eJgLhK #BestBuy #Sale https://t.co/wO4jvHAz0u,#music #movi #carrieunderwood greatest hits: decad #bestbuy #sale,0
804463502286983168,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment Walt Disney's Pirates of the Caribbean quadrilogy on DVD. #JohnnyDepp! https://t.co/kRxhV4GBGiâ€¦ https://t.co/s8jPGmUHXA,#entertain walt disney' pirat of the caribbean quadrilog on dvd. #johnnydepp! â€¦,0
804460341249777664,San Antonio Jobs,jobsplentysa,LG Experience Expert #SanAntonio #SanAntonioTX #BestBuy https://t.co/qv7yh1vDbk #jobsearch #hiring,lg experi expert #sanantonio #sanantoniotx #bestbuy #jobsearch #hire,1
804459767066398724,JAYoga,JaYogaStar,#SpecialEditionYoga910Glass Available exclusively at #BestBuy only 4000 produced! #PremiumStars #IAmLenovo https://t.co/i1pkAAI7yt,#specialeditionyoga910glass avail exclus at #bestbuy onli 400 produced! #premiumstar #iamlenovo,0
804458867295854597,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Edward Scissorhands (Digital HD) #JohnnyDepp, Winona Ryder, Dianne Wiest https://t.co/STeSxD94o3â€¦ https://t.co/NZT8IuWdMy","#entertain edward scissorhand (digit hd) #johnnydepp, winona ryder, diann wiest â€¦",0
804457717519659008,Johnny Depp Fans,JohnnyDeppFans7,"â¤â¤#Entertainment FINDING NEVERLAND - #JohnnyDepp, Kate Winslet, Dustin Hoffman - DVD #Auction #BestBuy https://t.co/hM7EhqUD23","â¤â¤#entertain find neverland - #johnnydepp, kate winslet, dustin hoffman - dvd #auction #bestbuy",1
804456900200759296,Jodi Kershuk,AgitatedMama,I just entered to win a prize from #BestBuy @ The Highlands! https://t.co/aI2I4Rjrw7,i just enter to win a prize from #bestbuy @ the highlands!,1
804455809375604736,Doug R,EmptyBoxes,@BestBuyCanada cancelled my online order without any explanation and the customer service email is dead. Last time I shop at #BestBuy,cancel my onlin order without ani explan and the custom servic email is dead. last time i shop at #bestbuy,0
804454079007072256,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood - Hand Signed 8x10 - Autographed Photo - Hologram coa https://t.co/Q5zDxT8KsIâ€¦ https://t.co/dn6LwGxLaR,#music #movi #carrieunderwood - hand sign 8x10 - autograph photo - hologram coa â€¦,0
804454060296286209,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo 3 Pirates Weimaraner Rescue Charity https://t.co/eMHO44TilRâ€¦ https://t.co/PnpoudDTTr,#entertain #johnnydepp #autograph 4x6 photo 3 pirat weimaran rescu chariti â€¦,0
804452471733002240,Warrior Raider Bully,exclusivetonyd,@DevanRhode geek squad is hiring... Just thought u should know... #bestbuy,geek squad is hiring.. just thought u should know.. #bestbuy,1
804449392027516929,Myong _Wisley,Myong_Wisley,#Music #Movie #CarrieUnderwood storyteller https://t.co/O3Any8eV19 #BestBuy #Sale https://t.co/F0uAd9NHZg,#music #movi #carrieunderwood storytel #bestbuy #sale,0
804449388110094336,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice in Wonderland DVD, #JohnnyDepp, Mia Wasikowska, Tim Burton https://t.co/IjtmxmifrK #Auction #BestBuy","#entertain alic in wonderland dvd, #johnnydepp, mia wasikowska, tim burton #auction #bestbuy",1
